_id	text	concreteness	valence	arousal	imageability	token_length_mean	token_length_median	token_length_std	sentence_length_mean	sentence_length_median	sentence_length_std	syllables_per_token_mean	syllables_per_token_median	syllables_per_token_std	n_tokens	n_unique_tokens	proportion_unique_tokens	n_characters	n_sentences	flesch_reading_ease	flesch_kincaid_grade	gunning_fog	automated_readability_index	coleman_liau_index	lix	rix	dependency_distance_mean	dependency_distance_std	prop_adjacent_dependency_relation_mean	prop_adjacent_dependency_relation_std	pos_prop_NOUN	pos_prop_ADP	pos_prop_PUNCT	pos_prop_DET	pos_prop_ADV	pos_prop_PROPN	pos_prop_ADJ	pos_prop_CCONJ	pos_prop_X	pos_prop_VERB	pos_prop_NUM	pos_prop_AUX	pos_prop_PRON	pos_prop_PART	pos_prop_SPACE
023b70256d83e844210a0528a4942a8a	Dunkler Schrank mit Regalbrettern, keine Holzausführung nur Nachbildung.	4.9398	5.5678	3.2414	5.262	7.875	7.0	4.044672421840859	8.0	8.0	0.0	2.25	2.0	1.1989578808281798	8	8	1.0	65	1	8.365000000000009	14.080000000000002	18.2	19.661250000000003	26.804999999999996	70.5	5.0	3.3	0.0	0.4	0.0	0.5	0.1	0.2	0.1	0.1										
028273d6b98038177ddefaa950ed2580	Dunkelgrünes zweisitziges Ledersofa mit weißen Kontrastnähten und roten Kissen. Arm- und Rückenlehne umrahmen die Sitzfläche durchgehend.	6.1453750000000005	5.989375000000001	3.2361249999999995	5.9784999999999995	7.5	7.0	3.7080992435478315	8.0	8.0	1.0	2.625	3.0	1.165922381636102	16	15	0.9375	122	2	-23.359999999999985	18.505	25.700000000000003	17.895000000000003	24.599999999999998	58.0	4.0	1.6625	0.03749999999999998	0.55	0.04999999999999999	0.2777777777777778	0.05555555555555555	0.1111111111111111	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.16666666666666666	0.1111111111111111	0.05555555555555555	0.05555555555555555					
02894464e2a0d558d514915bc5e0c36a	Ein großer Kleiderschrank aus Holz mit vier länglichen Bereichen und drei Schubladen.	5.689857142857142	5.465714285714285	2.755	5.848857142857143	6.083333333333333	4.0	3.5697416651006493	12.0	12.0	0.0	1.75	1.0	0.924211375534118	12	12	1.0	74	1	46.60500000000002	9.740000000000002	18.133333333333333	13.222500000000004	17.503333333333327	45.33333333333333	4.0	2.0	0.0	0.5384615384615384	0.0	0.3076923076923077	0.15384615384615385	0.07692307692307693	0.07692307692307693			0.15384615384615385	0.07692307692307693			0.15384615384615385				
028b1e475972f9eae615ba85e1394bb8	Lange Sitzbank aus Metall mit blauer Stoffauflage.	5.533333333333334	5.569333333333333	3.205833333333333	5.8775	6.142857142857143	6.0	2.899683304312063	7.0	7.0	0.0	2.0	2.0	0.9258200997725514	7	7	1.0	44	1	30.53000000000003	10.740000000000002	8.514285714285714	11.002857142857145	16.091428571428576	35.57142857142857	2.0	1.875	0.0	0.5	0.0	0.375	0.25	0.125				0.25								
028b1e475972f9eae615ba85e15db70a	Grasgrünes gepolstertes Sofa für zwei Personen mit zwei gleichfarbigen Kissen. 4 Füße aus Metall.	6.06375	6.0565	3.0549999999999993	6.001624999999999	5.857142857142857	4.0	3.661715890850371	7.0	7.0	3.0	2.0714285714285716	2.0	1.222660197758835	14	13	0.9285714285714286	84	2	24.487142857142885	11.582857142857147	14.228571428571428	9.657142857142855	14.41142857142857	35.57142857142857	2.0	1.6	0.4	0.5272727272727272	0.07272727272727272	0.375	0.1875	0.125				0.125				0.1875				
028b1e475972f9eae615ba85e1709ddd	Schreibtisch mit grauer Arbeitsfläche und schwarzen Beinen, auf der Arbeitsfläche ist ein Podest für Bildschirme mit Stauraum, darunter eine Fußablage.	5.140266666666667	5.7078	3.404733333333333	5.75	6.45	6.0	3.5843409436045564	20.0	20.0	0.0	2.0	2.0	1.0	20	18	0.9	132	1	17.335000000000036	15.810000000000002	20.0	18.9495	20.646000000000004	60.0	8.0	3.0869565217391304	0.0	0.4782608695652174	0.0	0.34782608695652173	0.17391304347826086	0.13043478260869565	0.13043478260869565	0.043478260869565216		0.08695652173913043	0.043478260869565216				0.043478260869565216			
0429d4a8c72bf6305999a389eb9ff1cc	Bürostuhl auf Rollen.	5.158	5.654333333333334	3.6653333333333333	5.262333333333333	6.0	6.0	2.449489742783178	3.0	3.0	0.0	2.0	2.0	0.816496580927726	3	3	1.0	19	1	34.59000000000003	9.180000000000003	14.533333333333331	8.329999999999998	9.613333333333333	36.33333333333333	1.0	1.25	0.0	0.5	0.0	0.25	0.25	0.25			0.25									
0429d4a8c72bf6305999a389eba78954	Rustikales, massives Holzbett für 2 Personen auf Stelzen. Decke und Kissen liegen bereit.	5.544099999999999	5.432	3.3744	5.5334	5.6923076923076925	6.0	2.4925925763107157	6.5	6.5	1.5	2.0	2.0	0.8770580193070292	13	13	1.0	77	2	31.037500000000023	10.545000000000002	11.830769230769231	8.630769230769232	13.116923076923083	44.96153846153847	2.5	1.8166666666666664	0.4833333333333333	0.5	0.0	0.3125	0.125	0.1875		0.0625	0.0625	0.0625	0.0625		0.0625	0.0625				
0429d4a8c72bf6305999a389ebb94a7a	Spiegelreflexkamera mit normalem Objektiv.	5.31625	5.6995	3.7125000000000004	5.168500000000001	9.5	8.0	5.852349955359813	4.0	4.0	0.0	3.5	3.0	2.179449471770337	4	4	1.0	39	1	-93.32499999999996	27.270000000000007	31.6	25.314999999999998	32.66	79.0	3.0	1.6	0.0	0.4	0.0	0.2	0.2	0.2			0.2	0.2								
0429d4a8c72bf6305999a389ebc613cf	Dunkler Holzfurnierschrank mit zwei Schüben und zwei Türen.	5.214	5.6433333333333335	4.318333333333333	5.709333333333333	6.375	4.5	4.635124054434789	8.0	8.0	0.0	1.75	1.5	0.9682458365518543	8	7	0.875	52	1	50.66500000000002	8.180000000000003	8.200000000000001	12.596250000000005	17.984999999999996	45.5	3.0	2.0	0.0	0.4444444444444444	0.0	0.4444444444444444	0.1111111111111111	0.1111111111111111					0.1111111111111111			0.2222222222222222				
0429d4a8c72bf6305999a389ebe24c90	Per Gewinde höhenverstellbarer dreibeiniger Hocker aus Metall.	5.654666666666667	4.937166666666667	3.1235	5.4191666666666665	7.857142857142857	6.0	4.997958767010258	7.0	7.0	0.0	2.5714285714285716	2.0	1.7612611437054218	7	7	1.0	56	1	-17.812857142857126	17.482857142857146	19.942857142857143	19.077142857142853	26.171428571428567	49.857142857142854	3.0	2.0	0.0	0.5	0.0	0.375	0.25	0.125				0.25								
0429d4a8c72bf6305999a389ebfad791	Designerstuhl mit grüner Sitzschale und hellbraunen Beinen, die mit Metallverstrebungen miteinander verbunden sind.	5.066222222222222	6.351999999999999	3.5815555555555556	5.543111111111112	7.769230769230769	6.0	4.741856925360751	13.0	13.0	0.0	2.5384615384615383	2.0	1.598816130063579	13	12	0.9230769230769231	103	1	-21.11384615384611	19.43384615384615	23.661538461538463	21.663076923076922	27.60615384615384	59.15384615384615	6.0	3.1333333333333333	0.0	0.4666666666666667	0.0	0.26666666666666666	0.13333333333333333	0.13333333333333333		0.06666666666666667		0.13333333333333333	0.06666666666666667		0.06666666666666667		0.06666666666666667	0.06666666666666667		
052316f45f7afd8937f602aee350fbb3	L-förmiges Sofa, grauer Stoffbezug mit großen Kissen als Rückenlehne sowie zwei kleinen gelben Kissen als Dekoration.	6.022416666666667	6.034499999999999	3.1969166666666666	5.954666666666667	6.25	6.0	2.6100766272276377	16.0	16.0	0.0	2.3125	2.0	1.260890062614501	16	14	0.875	102	1	-5.04249999999999	17.937500000000004	16.400000000000002	16.0075	19.099999999999998	47.25	5.0	2.9444444444444446	0.0	0.5	0.0	0.2777777777777778	0.16666666666666666	0.1111111111111111			0.1111111111111111	0.2222222222222222	0.05555555555555555			0.05555555555555555				
05f645c0f30a97fdc864fe5f772e47ff	Sofa mit weißem Rahmen und bläulichen Polster und Kissen. Der Rahmen besitzt ausschließlich auf der Unterseite gerade Rahmenelemente.	5.257454545454545	6.025454545454545	3.212545454545454	5.315818181818182	6.333333333333333	6.0	3.48010216963685	9.0	9.0	0.0	2.111111111111111	2.0	1.0999438818457405	18	15	0.8333333333333334	116	2	19.100000000000023	12.831111111111113	14.711111111111112	12.899999999999999	18.151111111111103	42.33333333333333	3.0	2.25	0.3500000000000001	0.5	0.09999999999999998	0.3	0.1	0.1	0.1	0.1	0.05	0.1	0.1		0.05					
05f645c0f30a97fdc864fe5f77493026	Sechssaitige elektrische Gitarre mit gelb-schwarzen Körper und generischem Steg und Gitarrenkopf. Die Gitarre ist angeschlossen an einen Verstärker.	5.375	6.090555555555556	3.9128888888888884	5.476	7.166666666666667	6.5	4.044887033170532	9.0	9.0	2.0	2.4444444444444446	2.5	1.4989708403591155	18	16	0.8888888888888888	131	2	-9.099999999999994	16.764444444444447	23.6	16.825000000000003	23.05111111111111	59.0	4.5	1.6666666666666665	0.16666666666666663	0.6041666666666667	0.020833333333333315	0.35	0.1	0.1	0.1			0.15	0.1		0.05		0.05			
08d785ce29c14fc91901bb1cc1986e99	Kleine Plastik Windmühlen in zwei Vasen.	5.868666666666667	5.527333333333334	3.0293333333333337	6.440666666666666	5.666666666666667	5.5	2.494438257849294	3.0	3.0	1.0	1.8333333333333333	2.0	0.6871842709362768	6	6	1.0	35	2	48.690000000000026	7.213333333333335	7.866666666666666	6.760000000000002	7.653333333333332	36.33333333333333	1.0	1.05	0.55	0.45	0.04999999999999999	0.42857142857142855	0.14285714285714285	0.14285714285714285				0.14285714285714285				0.14285714285714285				
0939a13407e3f8e2ed69013707b07cb5	Helles Holzbett mit Rückenlehne, zwei Kissen, einer Bettdecke mit einer weißen und einer gemusterten Seite und eine schwarze Decke.	6.353599999999999	6.0923	3.2060000000000004	6.1796999999999995	5.7894736842105265	5.0	2.461898013374	19.0	19.0	0.0	2.0526315789473686	2.0	0.8869631340185641	19	15	0.7894736842105263	113	1	13.897368421052647	16.04105263157895	16.02105263157895	15.338421052631581	16.684210526315784	45.315789473684205	5.0	2.909090909090909	0.0	0.5	0.0	0.2727272727272727	0.09090909090909091	0.13636363636363635	0.18181818181818182		0.045454545454545456	0.13636363636363635	0.09090909090909091			0.045454545454545456				
0939a13407e3f8e2ed69013707c2e32a	Stehschrank auf Füßen mit türkiser Front, grauem Korpus und grauer Umrandung an der Front.	5.2863750000000005	4.57575	3.3481250000000005	5.380999999999999	5.357142857142857	5.0	2.4959150299508783	14.0	14.0	0.0	1.6428571428571428	1.5	0.7178482586514923	14	13	0.9285714285714286	77	1	53.639285714285734	9.255714285714287	11.314285714285715	10.802142857142854	13.585714285714282	35.42857142857143	3.0	2.125	0.0	0.625	0.0	0.3125	0.1875	0.125	0.0625		0.0625	0.1875	0.0625							
