_id	_rev	$doctype	model	annotator	literal	sentimental	timeTaken	submitted
023b70256d83e844210a0528a4942a8a	1-b08c5fd93d3cfddc33b84a4ae3e79fc6	description	cabinet-5	41f8298aed788d44ae4ca71d610ed3e9	Dunkler Schrank mit Regalbrettern, keine Holzausführung nur Nachbildung.	bedrückend durch die dunklen Türen als Büroschrank oder Garderobenschrank nutzbar.	00:04:29.2824010	2022-02-20T20:34:56.5712068+01:00
028273d6b98038177ddefaa950ed2580	1-0557c51ba698a6c0dd2be015441cad7e	description	couch-14	cf6b00d23e22b8bfa5355f8223b71589	Dunkelgrünes 2-sitziges Ledersofa mit weißen Kontrast-Nähten und roten Kissen. Arm- und Rückenlehne umrahmen die Sitzfläche durchgehend.	Massiv und teuer anmutendes Ledersofa, das wie aus einem Stück gehauen wirkt. Für die gebotene Sitzfläche beansprucht es viel Platz.	00:05:40.9163975	2022-02-21T21:20:57.4903537+01:00
02894464e2a0d558d514915bc5e0c36a	1-2c5b037e6fa57ec92b44bfb6c679c959	description	cabinet-3	bb2981a82e4fbe7d429c55c612513229	Ein großer Kleiderschrank aus Holz mit vier, länglichen Bereichen und drei Schubladen.	Ein großer und geräumiger Kleiderschrank, aber die Holzfarbe scheint billig und künstlich zu sein. .	00:06:01.8818558	2022-02-20T12:37:38.0961069+01:00
028b1e475972f9eae615ba85e1394bb8	1-fbc90fb46012ec7cec5cceb055e347f3	description	bench-12	6a3687ada6d62ca7b69f8849d68dae7a	Lange Sitzbank aus Metall mit blauer Stoffauflage .	Modern und stylisch. Perfekt geeignet für den Eingangsbereich eines Hauses beispielsweise zum Schuhe anziehen.	00:02:06.6465651	2022-02-21T18:56:37.4591801+01:00
028b1e475972f9eae615ba85e15db70a	1-c8b023024bcbf92c2003a81da38239d7	description	couch-11	6a3687ada6d62ca7b69f8849d68dae7a	Grasgrünes gepolstertes Sofa für zwei Personen mit zwei gleichfarbigen Kissen. 4 Füße aus Metall .	Modernes Sofa, das nicht zu teuer erscheint und somit ideal für ein Jugendzimmer geeignet ist.	00:02:34.5297834	2022-02-21T19:08:46.3319651+01:00
028b1e475972f9eae615ba85e1709ddd	1-6c81e738554a7bde15a07292761d4ec7	description	desk-10	6a3687ada6d62ca7b69f8849d68dae7a	Schreibtisch mit grauer Arbeitsfläche und schwarzen Beinen, Auf der Arbeitsfläche ist ein Podest für Bildschirme mit Stauraum, darunter eine Fußablage.	Praktischer Schreibtisch mit viel Stauraum und Monitorerhöhung. Angenehme Fußablage, ideal für Jugendzimmer.	00:03:18.7487575	2022-02-21T19:15:23.1768322+01:00
0429d4a8c72bf6305999a389eb9ff1cc	1-f5199511716e4f60553675151b42a593	description	chair-5	41f8298aed788d44ae4ca71d610ed3e9	Bürostuhl auf Rollen.	Die Armlehnen scheinen nicht verstellbar, unbequeme Sitzhaltung, Instabil, da Sitzfläche zu groß für die Größe der Drehhalterung.	00:03:04.0097347	2022-02-20T20:38:00.5809415+01:00
0429d4a8c72bf6305999a389eba78954	2-90a4e05b4b512f6191d6f3650eef41f5	description	bed-6	41f8298aed788d44ae4ca71d616a6e12	Rustikales, massives Holzbett für 2 Personen auf Stelzen. Decke und Kisen liegen bereit.	Gemütliches, stabiles Bett, was zu einem sicheren und guten Schlaf einlädt.	00:03:01.6083841	2022-02-20T20:42:28.023493+01:00
0429d4a8c72bf6305999a389ebb94a7a	1-37408c93f332ce4bcde992b2d05d3356	description	hobby-3	41f8298aed788d44ae4ca71d610ed3e9	Spiegelreflexcamera mit normalem Objektiv.	althergebrachte Art Fotos zu machen, seit den Proficameras auf Handys total aus der Realität verschwunden, war eine teure Angelegenheit .	00:03:44.5713852	2022-02-20T20:51:37.226593+01:00
0429d4a8c72bf6305999a389ebc613cf	1-a1cd36c2839c1a578e207ecfdf5ba736	description	wardrobe-3	41f8298aed788d44ae4ca71d610ed3e9	Dunkler Holzfurnierschrank mit zwei Schüben und zwei Türen.	einfach Ausführung eines Flurschrankes oder Garderobenschrankens, sehr dunkles Design.	00:02:09.9982003	2022-02-20T20:59:13.6001826+01:00
0429d4a8c72bf6305999a389ebe24c90	1-194f9981fc86122e4b55877bbdfd219c	description	stool-5	ad2920eb9d6114f18fd4e53a1d4dd0f5	Per Gewinde höhenverstellbarer dreibeiniger Hocker aus Metall.	Robust wirkender Metallhocker.	00:00:48.5557436	2022-02-20T21:14:52.5631383+01:00
0429d4a8c72bf6305999a389ebfad791	1-2380c542c4dcd92569f9689c3265eee5	description	chair-7	41f8298aed788d44ae4ca71d616a6e12	Designerstuhl mit grüner Sitzschale und hellgraunen Beinen, die mit Metallverstrebungen mit einander verbunde sind.	Designerobjekt mit unüblichem Ausehen. Scheint teuer zu sein, .	00:04:54.9247549	2022-02-20T21:28:36.6857124+01:00
052316f45f7afd8937f602aee350fbb3	1-15cdfe737f10cf5373b640ea6683a6c8	description	couch-2	15f2e8857a087b993fcaf84691d77383	Sofa, grauer Stoffbezug mit großen Kissen als Rückenlehne sowie zwei kleinen gelben Kissen als Dekoration. L-förmig.	günstige aber große Couch, unwahrscheinlich dass sonderlich langlebig und gemütlich, aber immer gut anpassbar an die entsprechende Wohnung.	00:01:39.1176932	2022-02-11T15:35:12.8639533+01:00
05f645c0f30a97fdc864fe5f772e47ff	1-237bacf27c19f702b894ec32e69d3ad4	description	couch-6	8424b0acdbbed24977e874e19d503dee	Sofa mit weißem Rahmen und bläulichen Polster und Kissen. Der Rahmen besitzt ausschließlich auf der Unterseite gerade Rahmenelemente.	Kontrastreiches Sofa mit gehobener Zielgruppe. Sofa, um Tee darauf zu trinken.	00:02:46.5000799	2022-02-12T22:34:56.3865993+01:00
05f645c0f30a97fdc864fe5f77493026	1-b41445f7ce2fbcfbc215ee4daa6c1778	description	electronics-5	8424b0acdbbed24977e874e19d503dee	Sechs saitige elektrische Gitarre mit gelb-schwarzen Körper und generischem Steg und Gitarrenkopf. Die Gitarre ist angeschlossen an einen Versstärker.	Die großen Rundungen der Gitarre machen einen gemütlichen Eindruck. Assoziert Reaggy oder Bluse Musik.	00:03:14.9478642	2022-02-12T22:47:58.8473544+01:00
