ID	Category	AutoTags	Title	Tags	Description	URL	LicenseName	LicenseURL	Author
bed-1	bed		Pallette bed	bed,bedding,set,pallet,palette,blanket,pillow,matress,cloth,corona,vray,bedroom,interior,wood,scandinavian,architectural		https://www.cgtrader.com/free-3d-models/interior/bedroom/pallete-bed	CGTrader Royalty Free License	https://www.cgtrader.com/pages/terms-and-conditions#royalty-free-license	den-krasik
bed-2	bed		Old Bed	furniture,bed,bedroom,pillow,blanket,room,wood,horror,old,old-bed,dirty-bed,wooden-bed,old-bedroom-medieval		https://www.turbosquid.com/3d-models/old-bed-3d-model-1508685	TurboSquid Royalty Free License	https://blog.turbosquid.com/royalty-free-license	nestofgames
bed-3	bed		Bed Molteni Twelve A.M.	bed,photorealistic,pillow,cushion,vray,textile,realistic,blanket,leather,bedside,due,double,continental,bedroom,wood,bedclothes,molteni,and,c,twelve		https://www.turbosquid.com/3d-models/bed-molteni-model-1554756	TurboSquid Royalty Free License	https://blog.turbosquid.com/royalty-free-license	Medvegenok
bed-4	bed		Bed_Roma	Roma,bed,bedroom,vray,max,realistic,furniture,interior,modern,design,room,decoration,3d,model		https://www.turbosquid.com/3d-models/3d-roma-bed-1174204	TurboSquid Royalty Free License	https://blog.turbosquid.com/royalty-free-license	Diall
bed-5	bed		Bed Smania Caesar	bed,photorealistic,pillow,cushion,vray,textile,realistic,blanket,leather,bedside,smania,caesar,due,double,continental,bedroom,wood,bedclothes		https://www.turbosquid.com/3d-models/bed-smania-caesar-3d-model-1537972	TurboSquid Royalty Free License	https://blog.turbosquid.com/royalty-free-license	Medvegenok
bed-6	bed		Old Wood Bed	wood,wooden,models,vintage,bed,pillow,blanket,asset,ue4,maya,unity,horror,game,hause,old,bedroom	Old dirty bed for horror games. The pillows and blanket are separated from the bed,so you can arrange them as you like.	https://www.turbosquid.com/3d-models/old-bed-pillows-3d-model-1409056	TurboSquid Royalty Free License	https://blog.turbosquid.com/royalty-free-license	nestofgames
bed-7	bed		Ikea MALM bed	furniture,sofa,family,bed,ikea,malm,bedroom,minimalist,room,comfort,home,cushion,pillow,interior,indoors,sleep,low,poly,house	MALM bed frame,high,white stained oak veneer,Lury,Standard Single - 591.322.92	https://www.turbosquid.com/3d-models/interior-bed-malm-model-1441209	TurboSquid Royalty Free License	https://blog.turbosquid.com/royalty-free-license	anastasiyanieva
bed-8	bed		Old Bed	old,bed,furnishing,bedroom,game,dirty,realistic,ue4,maya,unity,hospital,prison,horror	Old bed,a model for old houses,old hospitals,prisons,asylum,etc. Old dirty bed for horror games.	https://www.turbosquid.com/3d-models/old-bed-3d-model-1408754	TurboSquid Royalty Free License	https://blog.turbosquid.com/royalty-free-license	nestofgames
bed-9	bed		The bed Colette King bed	bed,pillow,blanket,furniture,florafauna challenge,bedroom		https://www.cgtrader.com/free-3d-models/furniture/bed/the-bed-colette-king-bed	CGTrader Royalty Free License	https://www.cgtrader.com/pages/terms-and-conditions#royalty-free-license	tanya1212
bed-10	bed		Double Bed		Realistic king size bed.	https://www.3dmodelscc0.com/model/double-bed	CC0 1.0 Universal Public Domain Dedication	https://creativecommons.org/publicdomain/zero/1.0/	3DModelsCC0
bed-11	bed		Realistic Bed 01		Realistic Bed for architectural visualization.	https://assetstore.unity.com/packages/3d/props/interior/realistic-bed-01-107993	Standard Unity Asset Store EULA	https://unity3d.com/legal/as_terms	Chilla's Art,LLC
bed-12	bed		Child's Bed			https://assetstore.unity.com/packages/3d/props/furniture/bed-bath-furniture-pack-134117	Standard Unity Asset Store EULA	https://unity3d.com/legal/as_terms	Pepperjack
bed-13	bed		Old military bed			https://assetstore.unity.com/packages/3d/props/interior/old-military-bed-40205	Standard Unity Asset Store EULA	https://unity3d.com/legal/as_terms	Next Level 3D
bed-14	bed		Round Bed	bed,furniture,pillow,indoors,elegant,furnishing,bedroom,interior		https://www.cgtrader.com/free-3d-models/interior/bedroom/round-bed-eb059a8d-4460-479d-9071-aec3028be896	CGTrader Royalty Free License	https://www.cgtrader.com/pages/terms-and-conditions#royalty-free-license	vitor-ecasquinha-costa
